project	bug_id	method
chart	18	org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable
chart	19	org.jfree.chart.plot.CategoryPlot#int#getRangeAxisIndex#?,ValueAxis
chart	19	org.jfree.chart.plot.CategoryPlot#int#getDomainAxisIndex#?,CategoryAxis
chart	20	org.jfree.chart.plot.ValueMarker#?#ValueMarker#?,double,Paint,Stroke,Paint,Stroke,float
chart	21	org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#void#add#?,BoxAndWhiskerItem,Comparable,Comparable
chart	21	org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#void#updateBounds#?
chart	22	org.jfree.data.KeyedObjects2D#void#removeColumn#?,Comparable
chart	22	org.jfree.data.KeyedObjects2D#void#removeObject#?,Comparable,Comparable
chart	22	org.jfree.data.KeyedObjects2D#Object#getObject#?,Comparable,Comparable
chart	22	org.jfree.data.KeyedObjects2D#void#removeRow#?,Comparable
chart	23	org.jfree.chart.renderer.category.MinMaxCategoryRenderer#Icon#getIcon#?,Shape,Paint,Paint
chart	24	org.jfree.chart.renderer.GrayPaintScale#Paint#getPaint#?,double
chart	25	org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawHorizontalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int
chart	25	org.jfree.chart.renderer.category.StatisticalBarRenderer#void#drawVerticalItem#?,Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,StatisticalCategoryDataset,int,int
chart	26	org.jfree.chart.axis.Axis#AxisState#drawLabel#?,String,Graphics2D,Rectangle2D,Rectangle2D,RectangleEdge,AxisState,PlotRenderingInfo
lang	2	org.apache.commons.lang3.LocaleUtils#Locale#toLocale#?,String
lang	4	org.apache.commons.lang3.text.translate.LookupTranslator#?#LookupTranslator#?,CharSequence[]
lang	4	org.apache.commons.lang3.text.translate.LookupTranslator#int#translate#?,CharSequence,int,Writer
lang	5	org.apache.commons.lang3.LocaleUtils#Locale#toLocale#?,String
lang	6	org.apache.commons.lang3.text.translate.CharSequenceTranslator#void#translate#?,CharSequence,Writer
lang	8	org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule#void#appendTo#?,StringBuffer,Calendar
lang	8	org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule#?#TimeZoneNameRule#?,TimeZone,Locale,int
lang	9	org.apache.commons.lang3.time.FastDateParser#void#init#?
lang	10	org.apache.commons.lang3.time.FastDateParser#StringBuilder#escapeRegex#?,StringBuilder,String,boolean
lang	11	org.apache.commons.lang3.RandomStringUtils#String#random#?,int,int,int,boolean,boolean,char[],Random
lang	12	org.apache.commons.lang3.RandomStringUtils#String#random#?,int,int,int,boolean,boolean,char[],Random
lang	13	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#Class<?>#resolveClass#?,ObjectStreamClass
lang	13	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#?#ClassLoaderAwareObjectInputStream#?,InputStream,ClassLoader
lang	14	org.apache.commons.lang3.StringUtils#boolean#equals#?,CharSequence,CharSequence
lang	15	org.apache.commons.lang3.reflect.TypeUtils#Map<TypeVariable<?>,Type>#getTypeArguments#?,Class<?>,Class<?>,Map<TypeVariable<?>,Type>
lang	15	org.apache.commons.lang3.reflect.TypeUtils#boolean#isAssignable#?,Type,ParameterizedType,Map<TypeVariable<?>,Type>
lang	17	org.apache.commons.lang3.text.translate.CharSequenceTranslator#void#translate#?,CharSequence,Writer
lang	18	org.apache.commons.lang3.time.FastDateFormat#List<Rule>#parsePattern#?
lang	19	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#int#translate#?,CharSequence,int,Writer
lang	20	org.apache.commons.lang3.StringUtils#String#join#?,Object[],char,int,int
lang	20	org.apache.commons.lang3.StringUtils#String#join#?,Object[],String,int,int
lang	21	org.apache.commons.lang3.time.DateUtils#boolean#isSameLocalTime#?,Calendar,Calendar
lang	22	org.apache.commons.lang3.math.Fraction#int#greatestCommonDivisor#?,int,int
lang	26	org.apache.commons.lang3.time.FastDateFormat#String#format#?,Date
lang	28	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#int#translate#?,CharSequence,int,Writer
lang	29	org.apache.commons.lang3.SystemUtils#float#toJavaVersionInt#?,String
lang	30	org.apache.commons.lang3.StringUtils#boolean#containsNone#?,CharSequence,char[]
lang	30	org.apache.commons.lang3.StringUtils#int#indexOfAny#?,CharSequence,char[]
lang	30	org.apache.commons.lang3.StringUtils#boolean#containsAny#?,CharSequence,char[]
lang	30	org.apache.commons.lang3.StringUtils#int#indexOfAnyBut#?,String,String
lang	30	org.apache.commons.lang3.StringUtils#boolean#containsAny#?,CharSequence,String
lang	30	org.apache.commons.lang3.StringUtils#int#indexOfAnyBut#?,CharSequence,char[]
lang	31	org.apache.commons.lang3.StringUtils#boolean#containsAny#?,CharSequence,char[]
lang	32	org.apache.commons.lang3.builder.HashCodeBuilder#boolean#isRegistered#?,Object
lang	32	org.apache.commons.lang3.builder.HashCodeBuilder#void#unregister#?,Object
lang	32	org.apache.commons.lang3.builder.HashCodeBuilder#void#register#?,Object
lang	33	org.apache.commons.lang3.ClassUtils#Class<?>[]#toClass#?,Object[]
lang	34	org.apache.commons.lang3.builder.ToStringStyle#boolean#isRegistered#?,Object
lang	34	org.apache.commons.lang3.builder.ToStringStyle#Map<Object,Object>#getRegistry#?
lang	35	org.apache.commons.lang3.ArrayUtils#T[]#add#?,T[],T
lang	37	org.apache.commons.lang3.ArrayUtils#T[]#addAll#?,T[],T
lang	38	org.apache.commons.lang3.time.FastDateFormat#StringBuffer#format#?,Calendar,StringBuffer
lang	39	org.apache.commons.lang3.StringUtils#String#replaceEach#?,String,String[],String[],boolean,int
lang	40	org.apache.commons.lang.StringUtils#boolean#containsIgnoreCase#?,String,String
lang	41	org.apache.commons.lang.ClassUtils#String#getPackageName#?,String
lang	41	org.apache.commons.lang.ClassUtils#String#getShortClassName#?,String
lang	42	org.apache.commons.lang.Entities#void#escape#?,Writer,String
lang	43	org.apache.commons.lang.text.ExtendedMessageFormat#StringBuffer#appendQuotedString#?,String,ParsePosition,StringBuffer,boolean
lang	44	org.apache.commons.lang.NumberUtils#Number#createNumber#?,String
lang	45	org.apache.commons.lang.WordUtils#String#abbreviate#?,String,int,int,String
lang	46	org.apache.commons.lang.StringEscapeUtils#void#escapeJavaStyleString#?,Writer,String,boolean
lang	46	org.apache.commons.lang.StringEscapeUtils#String#escapeJavaStyleString#?,String,boolean
lang	46	org.apache.commons.lang.StringEscapeUtils#String#escapeJava#?,String
lang	47	org.apache.commons.lang.text.StrBuilder#StrBuilder#appendFixedWidthPadLeft#?,Object,int,char
lang	47	org.apache.commons.lang.text.StrBuilder#StrBuilder#appendFixedWidthPadRight#?,Object,int,char
lang	48	org.apache.commons.lang.builder.EqualsBuilder#EqualsBuilder#append#?,Object,Object
lang	49	org.apache.commons.lang.math.Fraction#Fraction#reduce#?
lang	50	org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int,TimeZone,Locale
lang	50	org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int,TimeZone,Locale
lang	51	org.apache.commons.lang.BooleanUtils#boolean#toBoolean#?,String
lang	52	org.apache.commons.lang.StringEscapeUtils#void#escapeJavaStyleString#?,Writer,String,boolean
lang	53	org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean
lang	54	org.apache.commons.lang.LocaleUtils#Locale#toLocale#?,String
lang	55	org.apache.commons.lang.time.StopWatch#void#stop#?
lang	59	org.apache.commons.lang.text.StrBuilder#StrBuilder#appendFixedWidthPadRight#?,Object,int,char
lang	60	org.apache.commons.lang.text.StrBuilder#boolean#contains#?,char
lang	61	org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int
lang	62	org.apache.commons.lang.Entities#String#unescape#?,String
lang	63	org.apache.commons.lang.time.DurationFormatUtils#String#formatPeriod#?,long,long,String,boolean,TimeZone
lang	63	org.apache.commons.lang.time.DurationFormatUtils#int#reduceAndCorrect#?,Calendar,Calendar,int,int
lang	64	org.apache.commons.lang.enums.ValuedEnum#int#compareTo#?,Object
lang	65	org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean
time	1	org.joda.time.Partial#?#Partial#?,DateTimeFieldType[],int[],Chronology
time	1	org.joda.time.field.UnsupportedDurationField#int#compareTo#?,DurationField
time	2	org.joda.time.Partial#?#Partial#?,DateTimeFieldType[],int[],Chronology
time	2	org.joda.time.field.UnsupportedDurationField#int#compareTo#?,DurationField
time	2	org.joda.time.Partial#Partial#with#?,DateTimeFieldType,int
time	3	org.joda.time.MutableDateTime#void#addHours#?,int
time	3	org.joda.time.MutableDateTime#void#add#?,DurationFieldType,int
time	3	org.joda.time.MutableDateTime#void#addWeeks#?,int
time	3	org.joda.time.MutableDateTime#void#addMonths#?,int
time	3	org.joda.time.MutableDateTime#void#addDays#?,int
time	3	org.joda.time.MutableDateTime#void#addYears#?,int
time	4	org.joda.time.Partial#Partial#with#?,DateTimeFieldType,int
time	5	org.joda.time.Period#Period#normalizedStandard#?,PeriodType
time	6	org.joda.time.chrono.GJChronology$ImpreciseCutoverField#long#add#?,long,int
time	6	org.joda.time.chrono.GJChronology#GJChronology#getInstance#?,DateTimeZone,ReadableInstant,int
time	7	org.joda.time.format.DateTimeFormatter#int#parseInto#?,ReadWritableInstant,String,int
time	8	org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int
time	9	org.joda.time.DateTimeZone#DateTimeZone#forOffsetHoursMinutes#?,int,int
time	9	org.joda.time.DateTimeZone#DateTimeZone#forOffsetMillis#?,int
time	10	org.joda.time.base.BaseSingleFieldPeriod#int#between#?,ReadablePartial,ReadablePartial,ReadablePeriod
time	12	org.joda.time.LocalDate#LocalDate#fromCalendarFields#?,Calendar
time	12	org.joda.time.LocalDateTime#LocalDateTime#fromCalendarFields#?,Calendar
time	12	org.joda.time.LocalDate#LocalDate#fromDateFields#?,Date
time	12	org.joda.time.LocalDateTime#LocalDateTime#fromDateFields#?,Date
time	13	org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#calculatePrintedLength#?,ReadablePeriod,Locale
time	13	org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#void#printTo#?,StringBuffer,ReadablePeriod,Locale
time	14	org.joda.time.chrono.BasicMonthOfYearDateTimeField#int[]#add#?,ReadablePartial,int,int[],int
time	15	org.joda.time.field.FieldUtils#long#safeMultiply#?,long,int
time	16	org.joda.time.format.DateTimeFormatter#int#parseInto#?,ReadWritableInstant,String,int
time	17	org.joda.time.DateTimeZone#long#adjustOffset#?,long,boolean
time	18	org.joda.time.chrono.GJChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int
time	19	org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long
time	20	org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId#int#parseInto#?,DateTimeParserBucket,String,int
time	21	org.joda.time.tz.DefaultNameProvider#String[]#getNameSet#?,Locale,String,String
time	22	org.joda.time.base.BasePeriod#?#BasePeriod#?,long
time	23	org.joda.time.DateTimeZone#String#getConvertedId#?,String
time	24	org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String
time	25	org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long
time	27	org.joda.time.format.PeriodFormatterBuilder#PeriodFormatter#toFormatter#?,List<Object>,boolean,boolean
